speaker	start_sec	end_sec	transcription	entropy	type
P1	117.1	126.23	Så ikke noget crazy. Det er jo meget lækkert. Jeg er også lige for et års tid siden flyttet ud. Så der var det meget fedt at få mig rabat og sådan noget.	4.862575937540272	turn
P2	125.58	126.81	Ja.	0.0	backchannel
P1	126.86	127.54	Ja.	0.0	backchannel
P1	128.02	144.22	Det er sgu ikke noget vildt sjovt. Men det er meget fint. Jeg synes, det er meget hyggeligt. Gode kollegaer. Når man arbejder i sådan en stor firma, så er der også gode forhold. Der er ligesom styr på ting.	4.931687083026442	turn
P2	141.26	141.87	Ja.	0.0	backchannel
P2	144.11	144.72	Ja.	0.0	backchannel
P1	144.92	154.42	Man får lov til at holde de ferier, man har og sådan noget. Det er bare fint. Har du noget fast, eller har du kun lavet noget af studiet?	4.651084443403434	turn
P2	151.52	152.13	Tak.	0.0	backchannel
P2	153.64	177.52	Nej, jeg har ikke noget fast. Jeg tænker bare, at det bliver hjælpelært at jobse ind tidligere. Det passer meget fint med mig. Lønnen er god. Jeg har faktisk lige præcis ikke brug for noget fast lige for tiden. Så kan jeg få noget mere fast, når jeg kommer hjem fra udveksling.	5.286790198827114	turn
P1	177.43	179.98	Bor du på campus eller sådan noget?	2.807354922057605	turn
P2	179.94	180.83	Ja.	0.0	backchannel
P1	180.0	181.29	Jeg havde nogen idéer.	2.0	turn
P2	181.22	183.36	Ja, jeg går på Nybergård.	2.3219280948873626	turn
P1	182.98	186.52	Det pågår. Hvor det hender af. Jeg har ikke så meget styr på kollegaerne.	3.8073549220576037	turn
P2	186.16	193.71	Det er ca. 20 minutter cykeltur for det to. Det ligger nede ved...	3.5465935642949393	turn
P1	195.67	196.92	Ja, okay.	1.0	backchannel
P2	195.94	209.4	Det er et meget lækkert område. Man kan sejle i kano og bade ved Fursøen. Det er meget lækkert.	3.932138039759376	turn
P1	209.47	211.14	Er der også sådan nogenlunde husleje?	2.584962500721156	turn
P2	211.38	221.26	Ja, det vil jeg sige. Det er omkring de 3.000 lidt over nu. Den har stået lidt de sidste måneder, men jeg vil sige, at det er rimelig okay.	4.444187891679295	turn
P1	221.35	223.86	Altså eget badeværelse eller sådan noget?	2.584962500721156	turn
P2	223.69	225.35	Ja, jeg ejer badeværelset.	2.0	turn
P1	224.35	224.92	Ja.	0.0	backchannel
P1	225.36	230.61	meget badeværelse og så stil køkken eller sådan noget. Det er sådan ret standard.	3.664497779200461	turn
P2	228.86	233.42	Ja, bor du på kollega?	2.3219280948873626	turn
P1	233.63	237.88	Nej, jeg bor i en lejlighed med nogle venner. Ude ude i Tejlholmen.	3.5465935642949393	turn
P2	236.1	239.08	Okay Okay, ja	1.584962500721156	turn
P1	238.5	239.11	Ja.	0.0	backchannel
P1	240.13	242.09	Hvor tre drenge i en firehøjrelses	2.584962500721156	turn
P2	242.18	242.96	Tak fordi du så med.	2.3219280948873626	turn
P1	242.72	243.83	Det er så meget fedt.	2.3219280948873626	turn
P2	243.64	250.05	Ja, okay. Ej, det lyder også meget lækkert. Er det også nogenlunde husleje, når man deler det?	3.85216872360328	turn
P1	250.42	251.63	Ja, altså det...	1.584962500721156	turn
P2	250.79	252.25	Det er sikkert lidt dyrere end kollega.	2.807354922057605	turn
P1	252.02	283.88	Ja, det er det. Altså jeg tror med vand og varme og internet og alt sådan noget, så tror jeg vi betaler ca. 6.000 om måneden. Så det er okay dyrt, men jeg tror også vi alle sammen, altså vi er selvfølgelig ligesom en lejlighed, at vi er ligesom sammen om, at vi gerne vil finde noget. Så vi er også ret enige med, at vi vil gerne bo sådan lidt inde i byen, eller vi vil gerne have sådan ikke for langt væk fra sådan Amager og sådan noget. Det ville være okay, men også lige på grænsen. Så vi vil også godt, det er også billigt og dyrt og sådan noget. Jeg synes faktisk, at det fungerer meget fint med lige at arbejde 10 timer om ugen og så udbundet SU.	5.895928466059618	turn
P2	279.41	280.1	Ja, okay.	1.0	backchannel
P2	283.99	284.59	Ja.	0.0	backchannel
P1	284.41	297.58	Så synes jeg, det kører meget fint. Og så er jeg sgu egentlig ret glad for at bo i København. Bo til på bar og klubber og alle de sjove ting, man kan lave.	5.0286393118385755	turn
P2	294.28	307.23	Ja, det er rigtig nok. Ja, det gad jeg også godt. Det var så egentlig også godt. Altså, jeg havde også overvejet synd på Egmont-kollegiet. Det ligger også sådan rimelig centralt.	4.373551149096554	turn
P1	303.29	303.78	Mmh?	0.0	backchannel
P1	305.58	311.17	Ja, det har jeg godt hørt om. Det skulle være ret... Men det er jo også meget blandet, ikke? Altså, det er jo også folk fra KU og...	4.423251796980338	turn
P2	309.39	310.01	Ja.	0.0	backchannel
P2	311.03	312.27	Ja, ja.	1.0	backchannel
P1	311.23	313.19	Eller må vi tage på det?	2.584962500721156	turn
P2	313.01	324.72	Men alligevel, jeg tror kun det er sådan 30 minutter i bus til DTU, så det er ikke fordi det er så langt fra, men det er også sådan rimelig meget inde i byen, så ja, det er meget lækkert.	4.472573883611436	turn
P1	323.51	329.75	Jeg tror også, at hvis man cykler og så tager S-stået, så kan du ret hurtigt komme til DTU.	4.142664355548849	turn
P2	329.68	333.62	Ja, præcis. Jeg tror også, at der er en boost, der nærmest går direkte til det.	3.8750000000000004	turn
P1	333.61	334.23	Ja.	0.0	backchannel
P1	335.76	338.21	Nå, det er sikkert motorvejspusen eller noget andet, det er det ikke.	3.022055208874201	turn
P2	336.59	337.28	Godnød.	0.0	backchannel
P2	337.85	340.68	Ja, jeg husker, at han også foresviger.	2.807354922057605	turn
P1	341.62	345.94	Vi har hørt meget godt om McMoran, men det skulle også være ret svært at komme ind. Er det ikke sådan noget?	4.368522527728206	turn
P2	343.62	346.69	Jo, det...	1.0	backchannel
P1	346.3	347.57	Det er lidt eksklusivt.	2.0	turn
P2	347.22	351.56	Ja, det er lidt eksklusivt. Jeg tror, man skal være heldig lige at søge på det rigtige tidspunkt.	4.058813890331202	turn
P1	348.85	349.14	Mmh.	0.0	backchannel
P1	351.92	352.58	Ja.	0.0	backchannel
P2	353.56	358.2	De vil også gerne have det lidt blandet, så hvis man er en pige, der studerer medicin, så...	4.169925001442313	turn
P1	360.3	361.57	Og så må der mange.	2.3219280948873626	turn
P2	361.34	370.88	Ja, åbenbart. Og så er min ven, han studerer datalogi. Jeg tror, han søgte på et tidspunkt, hvor der næsten ikke var nogen, der studerede datalogi.	4.469670487371864	turn
P1	371.82	373.78	Og så er det lige med at komme ind.	3.1699250014423126	turn
P2	372.27	374.22	Han var heldig at...	2.0	turn
P1	373.95	380.39	Det er sgu meget fedt. Kommer du også fra området her?	3.4594316186372978	turn
P2	380.68	384.14	Jeg er vokset op i Lyngby.	2.584962500721156	turn
P1	384.14	386.17	Nå, hvis du er totalt lukket.	2.584962500721156	turn
P2	384.31	392.33	Eller sovnfri. Ja, så jeg flyttede, altså jeg bor sådan 10 minutter gang fra mine forældre nu.	3.96981578242681	turn
P1	392.15	393.31	og kvinder	1.0	backchannel
P2	392.48	394.08	Så, ja.	1.0	backchannel
P1	393.81	396.22	Ja, og jeg kommer også for at view med, så...	3.321928094887362	turn
P2	396.38	397.42	Okay, ja	1.0	backchannel
P1	396.81	400.55	Så jeg har altid hørt meget om det tur, når jeg vokser op.	3.5465935642949393	turn
P2	400.3	401.25	Ja, ja.	1.0	backchannel
P1	401.05	426.06	Jeg er også glad for at læse Diplomaktionør, men det kunne være fedt at spørge Løbeby. Jeg føler, at Løbeby Campus virker fucking fedt, fordi det er stort, og der sker så meget hele tiden. Der er baller op. Det er en del mindre. De fleste tager bare hjem, når de er færdige med studiet. Der er ikke lige så meget socialt liv.	5.496888455142929	turn
P2	424.84	429.42	Nå, ja. Ja, der er ikke fire bare eller noget.	3.321928094887362	turn
P1	426.81	433.8	Nej, der er en bar, der er nærmest ved at lukke nu, tror jeg, for der er nærmest ikke nogen, der bruger den.	3.8820451081368614	turn
P2	429.62	434.93	Ah, okay Shit, okay	1.5	turn
P1	434.58	435.3	Ja.	0.0	backchannel
P2	436.28	438.73	Tager du så alle dine kurser på Ballerup?	3.0	turn
P1	439.31	477.62	På de første to semestre har vi haft produktionsteknologi. Det er et 10-points-skud, så det kan køre ud i 4. kvadrat, bygning 400 eller et eller andet. Og det tror jeg bare, fordi det er en masse med produktion og støbning og erbearbejdning og alt sådan noget. Jeg tror bare, det er nemmere for dem, fordi det kræver mange CNC-maskiner og støbeværk og alt mulig shit. Så det er i hvert fald, det tager man altid herude. Og ellers har vi haft alt det andet egentlig været på ballerup indtil videre. Men der er også mulighed for sådan...	5.859871390533195	turn
P2	476.22	477.06	Ja, okay	1.0	backchannel
P1	478.61	488.34	nu skal jeg have projektledelse næste semester. Det kører både på balt og råbord, det kører i lønbyer, det kører på dansk og engelsk, og man kan også holde sig om tre uger og sådan noget, så der er også en lille mulighed for sådan...	5.07507781850382	turn
P2	481.54	482.13	Ja.	0.0	backchannel
P2	484.62	487.38	Ja.	0.0	backchannel
P1	489.1	497.21	at mixe det op, hvis man gerne vil. Jeg ved også, at basismat, det kører også altid både på Ballup og Olympi, så der er nogen, der har det nogle steder og sådan noget.	4.771142620598474	turn
P2	497.62	498.66	Okay, ja.	1.0	backchannel
P1	498.58	509.38	Og jeg tror også senere hen, altså de fag vi skal have, det tror jeg hovedsageligt er på valgård. Og så kommer vi til valgfagene, der er det meget mere blandet.	4.567099536193327	turn
P2	509.35	515.43	Ja, der har de nok ikke så mange på Ballerup gået fra. Så der er man nødt til at tage på det to.	4.349648912578751	turn
P1	513.04	515.97	Ja, der er ligesom meget mere der.	2.807354922057605	turn
P2	516.11	519.01	Ja, hvad var det nu, du studerede? Jeg synes ikke rigtig, jeg kunne høre det før.	3.8750000000000004	turn
P1	519.22	522.53	Maskinteknik.	0.0	backchannel
P2	519.67	530.16	Der er nok en del laboratorier på Lyngby Campus.	3.1699250014423126	turn
P1	530.21	569.98	Ja, og værksteder og hvad end man skal. Lige nu har vi i de første fire semester kun ét valgfag. Så jeg rykker på at kigge på sådan et valgfag. Hvor skal man have det henne, og hvad kan man have? På promotionen er der også rigtig meget med hvilke retninger man går, om man vil lave et speciale eller et eller andet. Og det bestemmer jo ret meget om, hvilket slags valgfag man skal have, hvis man gerne vil lave et speciale. Det er ikke noget, der går super meget ind i nu, men man kan bare fornemme og forstå, hvorfor der er flere muligheder ude i Løben By. Men også for mit udkommende. Jeg tror, det er cirka 40 minutters med cykler.	6.252425745800957	turn
